frame_seq,wall_ms,frame_start_ms,scene_update_ms,submission_ms,shadow_writer_maps,shadow_map_uses,shadow_backing_uses
134,2.4619,0.029899999999999999,0.0001,2.4317000000000002,0,4,4
135,2.7555999999999998,0.025899999999999999,0.0001,2.7292999999999998,0,4,4
136,4.8272000000000004,0.025600000000000001,0,4.8013000000000003,0,4,4
137,2.7663000000000002,0.031399999999999997,0,2.7345999999999999,0,4,4
138,3.0994999999999999,0.031099999999999999,0.0001,3.0680000000000001,0,4,4
139,4.6360999999999999,0.0309,0.0001,4.6048999999999998,0,4,4
140,2.9285999999999999,0.025999999999999999,0.0001,2.9022000000000001,0,4,4
141,2.6793999999999998,0.026700000000000002,0.0001,2.6522999999999999,0,4,4
142,4.7522000000000002,0.025700000000000001,0,4.7262000000000004,0,4,4
143,3.21,0.030499999999999999,0,3.1791999999999998,0,4,4
144,4.8346,0.026800000000000001,0.0001,4.8075000000000001,0,4,4
145,2.9813999999999998,0.031899999999999998,0.0001,2.9493,0,4,4
146,2.7949000000000002,0.0258,0.0001,2.7686999999999999,0,4,4
147,4.1451000000000002,0.025700000000000001,0.0001,4.1191000000000004,0,4,4
148,3.9722,0.0252,0.0001,3.9460000000000002,0,4,4
149,2.8163999999999998,0.095699999999999993,0.0001,2.7197,0,4,4
150,5.8563999999999998,0.033599999999999998,0.0001,5.8224,0,4,4
151,2.7052,0.0557,0,2.6492,0,4,4
152,4.0989000000000004,0.036999999999999998,0,4.0617000000000001,0,4,4
153,3.6560999999999999,0.028000000000000001,0,3.6278999999999999,0,4,4
154,3.1852,0.025899999999999999,0.0001,3.1591,0,4,4
155,4.9244000000000003,0.025999999999999999,0.0001,4.8979999999999997,0,4,4
156,3.1549999999999998,0.025600000000000001,0.0001,3.1288999999999998,0,4,4
157,2.7692000000000001,0.031600000000000003,0.0001,2.7372999999999998,0,4,4
158,4.3418000000000001,0.030599999999999999,0.0001,4.3109000000000002,0,4,4
159,2.9538000000000002,0.025100000000000001,0.0001,2.9283999999999999,0,4,4
160,2.8696000000000002,0.031699999999999999,0,2.8376000000000001,0,4,4
161,5.0689000000000002,0.0264,0,5.0423,0,4,4
162,2.6002000000000001,0.031699999999999999,0,2.5682999999999998,0,4,4
163,3.351,0.025000000000000001,0.0001,3.3256000000000001,0,4,4
164,4.2182000000000004,0.030599999999999999,0.0001,4.1872999999999996,0,4,4
165,2.976,0.0269,0.0001,2.9487000000000001,0,4,4
166,4.9420000000000002,0.029899999999999999,0,4.9118000000000004,0,4,4
167,3.3807,0.026100000000000002,0.0001,3.3542000000000001,0,4,4
168,3.1638000000000002,0.025899999999999999,0.0001,3.1375000000000002,0,4,4
169,4.6200999999999999,0.026100000000000002,0,4.5937000000000001,0,4,4
170,3.1732999999999998,0.025600000000000001,0.0001,3.1473,0,4,4
171,3.3763999999999998,0.026599999999999999,0,3.3494999999999999,0,4,4
172,4.3970000000000002,0.0252,0,4.3715000000000002,0,4,4
173,2.7683,0.025499999999999998,0.0001,2.7425999999999999,0,4,4
174,3.2976000000000001,0.026200000000000001,0,3.2711999999999999,0,4,4
175,4.0259999999999998,0.025000000000000001,0.0001,4.0006000000000004,0,4,4
176,2.8014000000000001,0.030300000000000001,0,2.7707999999999999,0,4,4
177,4.6181999999999999,0.0264,0,4.5915999999999997,0,4,4
178,2.9994999999999998,0.0263,0.0001,2.9729000000000001,0,4,4
179,2.7909000000000002,0.025999999999999999,0.0001,2.7646000000000002,0,4,4
180,3.3866000000000001,0.026599999999999999,0.0001,3.3595999999999999,0,4,4
181,4.2298999999999998,0.025000000000000001,0.0001,4.2046000000000001,0,4,4
182,3.1375999999999999,0.062700000000000006,0.0001,3.0745,0,4,4
183,4.4200999999999997,0.0252,0,4.3945999999999996,0,4,4
184,3.2035999999999998,0.0258,0,3.1775000000000002,0,4,4
185,2.9373,0.028199999999999999,0.0001,2.9085999999999999,0,4,4
186,5.3421000000000003,0.0298,0.0001,5.3117999999999999,0,4,4
187,2.8212999999999999,0.033300000000000003,0.0001,2.7869000000000002,0,4,4
188,2.8086000000000002,0.045400000000000003,0.0001,2.7627999999999999,0,4,4
189,4.7465000000000002,0.028299999999999999,0,4.7179000000000002,0,4,4
190,2.9613,0.028400000000000002,0.0001,2.9319999999999999,0,4,4
191,4.2230999999999996,0.030200000000000001,0,4.1924999999999999,0,4,4
