frame_seq,wall_ms,frame_start_ms,scene_update_ms,submission_ms,shadow_writer_maps,shadow_map_uses,shadow_backing_uses
134,5.0072999999999999,0.0419,0.0001,4.9649999999999999,0,12,2
135,5.6104000000000003,0.0458,0.0001,5.5641999999999996,0,12,2
136,4.9382000000000001,0.041399999999999999,0.0001,4.8963999999999999,0,12,2
137,5.0312999999999999,0.0453,0,4.9858000000000002,0,12,2
138,5.1543000000000001,0.0424,0,5.1116000000000001,0,12,2
139,5.4405999999999999,0.047500000000000001,0.0001,5.3926999999999996,0,12,2
140,5.2359,0.045400000000000003,0.0001,5.1902999999999997,0,12,2
141,5.0430000000000001,0.045699999999999998,0.0001,4.9969000000000001,0,12,2
142,4.9973999999999998,0.0402,0,4.9570999999999996,0,12,2
143,4.7891000000000004,0.044499999999999998,0.0001,4.7442000000000002,0,12,2
144,5.1512000000000002,0.040399999999999998,0,5.1105999999999998,0,12,2
145,4.7755000000000001,0.045100000000000001,0,4.7302,0,12,2
146,4.8188000000000004,0.0453,0.0001,4.7731000000000003,0,12,2
147,5.2122999999999999,0.045499999999999999,0,5.1665999999999999,0,12,2
148,5.1863000000000001,0.040099999999999997,0.0001,5.1459000000000001,0,12,2
149,5.1757,0.040500000000000001,0,5.1349,0,12,2
150,5.0717999999999996,0.0407,0.0001,5.0308000000000002,0,12,2
151,5.0301999999999998,0.0407,0.0001,4.9892000000000003,0,12,2
152,5.0648,0.040099999999999997,0.0001,5.0244,0,12,2
153,4.7514000000000003,0.041500000000000002,0,4.7096,0,12,2
154,5.0818000000000003,0.040500000000000001,0.0001,5.0410000000000004,0,12,2
155,5.0457000000000001,0.044699999999999997,0.0001,5.0007000000000001,0,12,2
156,5.0294999999999996,0.040300000000000002,0.0001,4.9889000000000001,0,12,2
157,4.8018000000000001,0.0458,0,4.7557999999999998,0,12,2
158,4.8875000000000002,0.045400000000000003,0.0001,4.8417000000000003,0,12,2
159,4.8944999999999999,0.040800000000000003,0,4.8533999999999997,0,12,2
160,4.8738000000000001,0.041200000000000001,0.0001,4.8323,0,12,2
161,4.9242999999999997,0.041500000000000002,0.0001,4.8823999999999996,0,12,2
162,5.2039,0.045999999999999999,0,5.1577000000000002,0,12,2
163,4.7516999999999996,0.040399999999999998,0,4.7111000000000001,0,12,2
164,5.3085000000000004,0.048899999999999999,0.0001,5.2591999999999999,0,12,2
165,4.7515999999999998,0.040599999999999997,0,4.7107000000000001,0,12,2
166,5.3108000000000004,0.040500000000000001,0.0001,5.2698,0,12,2
167,4.8574000000000002,0.040000000000000001,0.0001,4.8170999999999999,0,12,2
168,5.1666999999999996,0.045699999999999998,0.0001,5.1207000000000003,0,12,2
169,4.7708000000000004,0.0407,0,4.7298,0,12,2
170,5.9097,0.040500000000000001,0,5.8688000000000002,0,12,2
171,4.8566000000000003,0.041700000000000001,0,4.8146000000000004,0,12,2
172,4.9592999999999998,0.041300000000000003,0.0001,4.9176000000000002,0,12,2
173,4.8521999999999998,0.0465,0.0001,4.8052999999999999,0,12,2
174,5.0199999999999996,0.046800000000000001,0,4.9729999999999999,0,12,2
175,4.7999000000000001,0.040500000000000001,0.0001,4.7590000000000003,0,12,2
176,5.3304999999999998,0.040300000000000002,0.0001,5.2899000000000003,0,12,2
177,4.7473000000000001,0.041300000000000003,0.0001,4.7057000000000002,0,12,2
178,4.8497000000000003,0.040399999999999998,0,4.8090999999999999,0,12,2
179,4.8711000000000002,0.041000000000000002,0.0001,4.8297999999999996,0,12,2
180,5.0164,0.0407,0.0001,4.9752999999999998,0,12,2
181,4.7755999999999998,0.041799999999999997,0,4.7335000000000003,0,12,2
182,5.0528000000000004,0.040899999999999999,0,5.0117000000000003,0,12,2
183,5.3955000000000002,0.041599999999999998,0.0001,5.3535000000000004,0,12,2
184,5.2267000000000001,0.041300000000000003,0.0001,5.1851000000000003,0,12,2
185,5.1546000000000003,0.0458,0.0001,5.1085000000000003,0,12,2
186,5.0884,0.040899999999999999,0.0001,5.0472000000000001,0,12,2
187,4.9316000000000004,0.040800000000000003,0.0001,4.8905000000000003,0,12,2
188,4.8425000000000002,0.040800000000000003,0,4.8014999999999999,0,12,2
189,5.1174999999999997,0.061199999999999997,0,5.056,0,12,2
190,5.0309999999999997,0.045699999999999998,0.0001,4.9850000000000003,0,12,2
191,4.7679,0.040599999999999997,0,4.7271000000000001,0,12,2
192,5.2172000000000001,0.041099999999999998,0,5.1759000000000004,0,12,2
193,5.1193,0.047800000000000002,0.0001,5.0711000000000004,0,12,2
194,4.9542999999999999,0.042200000000000001,0,4.9119000000000002,0,12,2
195,4.8032000000000004,0.040500000000000001,0.0001,4.7624000000000004,0,12,2
196,5.0930999999999997,0.041200000000000001,0,5.0517000000000003,0,12,2
197,5.0761000000000003,0.045999999999999999,0,5.0298999999999996,0,12,2
198,4.9485999999999999,0.040399999999999998,0.0001,4.9077999999999999,0,12,2
199,5.7392000000000003,0.043499999999999997,0.0001,5.6950000000000003,0,12,2
200,5.4218000000000002,0.047,0.0001,5.3742000000000001,0,12,2
201,4.9654999999999996,0.0504,0,4.9149000000000003,0,12,2
202,5.1150000000000002,0.050000000000000003,0.0001,5.0646000000000004,0,12,2
203,5.0652999999999997,0.042500000000000003,0,5.0224000000000002,0,12,2
204,5.4138000000000002,0.049200000000000001,0,5.3639999999999999,0,12,2
205,5.3845000000000001,0.045499999999999999,0.0001,5.3384,0,12,2
206,5.6121999999999996,0.050500000000000003,0.0001,5.5612000000000004,0,12,2
207,4.9488000000000003,0.058999999999999997,0,4.8894000000000002,0,12,2
208,4.8761999999999999,0.048599999999999997,0.0001,4.8272000000000004,0,12,2
209,5.4725000000000001,0.042900000000000001,0.0001,5.4291999999999998,0,12,2
210,4.8512000000000004,0.046399999999999997,0.0001,4.8045,0,12,2
211,4.8463000000000003,0.042099999999999999,0,4.8037999999999998,0,12,2
212,4.9466000000000001,0.047100000000000003,0.0001,4.8990999999999998,0,12,2
213,5.2107999999999999,0.048099999999999997,0.0001,5.1622000000000003,0,12,2
214,5.3139000000000003,0.048300000000000003,0,5.2652000000000001,0,12,2
215,5.1036000000000001,0.045600000000000002,0,5.0579000000000001,0,12,2
216,4.8525999999999998,0.045499999999999999,0.0001,4.8067000000000002,0,12,2
217,4.9387999999999996,0.041500000000000002,0.0001,4.8970000000000002,0,12,2
218,5.0465999999999998,0.048800000000000003,0,4.9973999999999998,0,12,2
219,4.9732000000000003,0.041799999999999997,0,4.9310999999999998,0,12,2
220,5.3305999999999996,0.048000000000000001,0.0001,5.2821999999999996,0,12,2
221,5.0994999999999999,0.059999999999999998,0.0001,5.0392000000000001,0,12,2
222,4.915,0.043099999999999999,0,4.8715000000000002,0,12,2
223,4.8811,0.047100000000000003,0,4.8335999999999997,0,12,2
224,5.0812999999999997,0.047,0.0001,5.0339,0,12,2
225,5.0587999999999997,0.042000000000000003,0,5.0167000000000002,0,12,2
226,5.0533000000000001,0.041599999999999998,0,5.0114000000000001,0,12,2
227,4.9398,0.041200000000000001,0.0001,4.8982999999999999,0,12,2
228,5.1810999999999998,0.045900000000000003,0,5.1349999999999998,0,12,2
229,4.9978999999999996,0.042599999999999999,0.0001,4.9546999999999999,0,12,2
230,5.2491000000000003,0.043700000000000003,0,5.2050000000000001,0,12,2
231,5.3022999999999998,0.042099999999999999,0,5.2599,0,12,2
232,5.1246999999999998,0.042000000000000003,0,5.0824999999999996,0,12,2
233,5.0975000000000001,0.041000000000000002,0.0001,5.0561999999999996,0,12,2
234,4.8170000000000002,0.045600000000000002,0,4.7712000000000003,0,12,2
235,4.8052000000000001,0.041000000000000002,0.0001,4.7637999999999998,0,12,2
236,5.5061,0.045999999999999999,0.0001,5.4598000000000004,0,12,2
237,5.3864000000000001,0.043400000000000001,0.0001,5.3426999999999998,0,12,2
238,5.3779000000000003,0.050500000000000003,0,5.3270999999999997,0,12,2
239,5.1193999999999997,0.046399999999999997,0.0001,5.0726000000000004,0,12,2
240,5.0526,0.046600000000000003,0.0001,5.0056000000000003,0,12,2
241,4.9976000000000003,0.040800000000000003,0,4.9566999999999997,0,12,2
242,5.2347999999999999,0.040899999999999999,0,5.1935000000000002,0,12,2
243,5.1215999999999999,0.042200000000000001,0,5.0792000000000002,0,12,2
244,5.0167999999999999,0.042799999999999998,0.0001,4.9736000000000002,0,12,2
245,5.3117999999999999,0.049200000000000001,0.0001,5.2622,0,12,2
246,4.7660999999999998,0.042999999999999997,0,4.7228000000000003,0,12,2
247,5.0406000000000004,0.042099999999999999,0,4.9981999999999998,0,12,2
248,5.3433999999999999,0.046399999999999997,0.0001,5.2965999999999998,0,12,2
249,5.1824000000000003,0.041399999999999999,0.0001,5.1405000000000003,0,12,2
250,4.9096000000000002,0.041399999999999999,0,4.8680000000000003,0,12,2
251,5.4054000000000002,0.042900000000000001,0.00040000000000000002,5.3617999999999997,0,12,2
252,4.9195000000000002,0.042900000000000001,0,4.8762999999999996,0,12,2
253,5.0791000000000004,0.046899999999999997,0.0001,5.0317999999999996,0,12,2
254,4.9603000000000002,0.041099999999999998,0,4.9189999999999996,0,12,2
255,4.9672999999999998,0.045900000000000003,0,4.9211,0,12,2
256,4.9833999999999996,0.040899999999999999,0,4.9421999999999997,0,12,2
257,4.8691000000000004,0.045900000000000003,0.0001,4.8228999999999997,0,12,2
258,5.1410999999999998,0.046399999999999997,0.0001,5.0942999999999996,0,12,2
259,4.9972000000000003,0.047100000000000003,0.0001,4.9497999999999998,0,12,2
260,5.5514999999999999,0.0458,0,5.5053999999999998,0,12,2
