frame_seq,wall_ms,frame_start_ms,scene_update_ms,submission_ms,shadow_writer_maps,shadow_map_uses,shadow_backing_uses
134,2.4272999999999998,0.012200000000000001,0.0001,2.4146000000000001,0,0,0
135,2.0844,0.014999999999999999,0.0001,2.069,0,0,0
136,1.8371999999999999,0.0138,0.0001,1.8228,0,0,0
137,2.6116999999999999,0.017600000000000001,0,2.5935000000000001,0,0,0
138,2.4946999999999999,0.012999999999999999,0.0001,2.4811999999999999,0,0,0
139,1.9177999999999999,0.012500000000000001,0,1.9048,0,0,0
140,1.5723,0.012999999999999999,0,1.5589999999999999,0,0,0
141,1.5901000000000001,0.0123,0.0001,1.5774999999999999,0,0,0
142,2.8683999999999998,0.011599999999999999,0,2.8565,0,0,0
143,2.1833,0.0121,0.0001,2.1707000000000001,0,0,0
144,1.671,0.0118,0.0001,1.6589,0,0,0
145,1.7093,0.0126,0.0001,1.6963999999999999,0,0,0
146,1.6158999999999999,0.0126,0.0001,1.6029,0,0,0
147,2.4946000000000002,0.0115,0,2.4828000000000001,0,0,0
148,3.0794000000000001,0.011900000000000001,0,3.0670999999999999,0,0,0
149,1.4518,0.0109,0.0001,1.4406000000000001,0,0,0
150,1.6258999999999999,0.0109,0.0001,1.6145,0,0,0
151,2.2383000000000002,0.0132,0,2.2248999999999999,0,0,0
152,2.3483999999999998,0.010999999999999999,0.0001,2.3370000000000002,0,0,0
153,1.9491000000000001,0.0106,0.0001,1.9380999999999999,0,0,0
154,1.4394,0.013599999999999999,0.0001,1.4254,0,0,0
155,1.6574,0.016299999999999999,0.0001,1.6407,0,0,0
156,1.9258999999999999,0.011599999999999999,0.0001,1.9138999999999999,0,0,0
157,2.621,0.016199999999999999,0,2.6044999999999998,0,0,0
158,2.2578,0.015699999999999999,0.0001,2.2418,0,0,0
159,1.5118,0.011299999999999999,0.0001,1.5002,0,0,0
160,1.9646999999999999,0.011599999999999999,0,1.9527000000000001,0,0,0
161,2.1423999999999999,0.0138,0,2.1282999999999999,0,0,0
162,2.5249999999999999,0.0117,0,2.5129000000000001,0,0,0
163,1.4851000000000001,0.011599999999999999,0.0001,1.4731000000000001,0,0,0
164,1.8058000000000001,0.010999999999999999,0,1.7946,0,0,0
165,1.5557000000000001,0.0118,0,1.5435000000000001,0,0,0
166,1.5989,0.011900000000000001,0.0001,1.5867,0,0,0
167,2.5417000000000001,0.013299999999999999,0.0001,2.5278999999999998,0,0,0
168,2.5323000000000002,0.0114,0,2.5206,0,0,0
169,1.8734999999999999,0.0111,0.0001,1.8620000000000001,0,0,0
170,1.5338000000000001,0.0112,0.0001,1.5222,0,0,0
171,1.5578000000000001,0.012500000000000001,0,1.5449999999999999,0,0,0
172,2.6701999999999999,0.0115,0,2.6583000000000001,0,0,0
173,3.0859000000000001,0.0118,0,3.0733999999999999,0,0,0
174,1.6986000000000001,0.017600000000000001,0.00020000000000000001,1.6802999999999999,0,0,0
175,1.5608,0.016500000000000001,0,1.5441,0,0,0
176,2.2023000000000001,0.0147,0,2.1873,0,0,0
177,2.3675000000000002,0.016199999999999999,0,2.3511000000000002,0,0,0
178,1.8319000000000001,0.012200000000000001,0.0001,1.8191999999999999,0,0,0
179,1.5310999999999999,0.0114,0.0001,1.5193000000000001,0,0,0
180,1.5620000000000001,0.0118,0.0001,1.5499000000000001,0,0,0
181,1.6435999999999999,0.0114,0.0001,1.6317999999999999,0,0,0
182,3.0244,0.016899999999999998,0,3.0072000000000001,0,0,0
183,1.8181,0.0117,0.0001,1.8059000000000001,0,0,0
184,1.5484,0.0115,0.0001,1.5366,0,0,0
185,1.8900999999999999,0.0115,0,1.8782000000000001,0,0,0
186,1.5122,0.013100000000000001,0.0001,1.4987999999999999,0,0,0
187,2.5994999999999999,0.0114,0.0001,2.5876999999999999,0,0,0
188,2.2029000000000001,0.0114,0.0001,2.1911,0,0,0
189,1.5569,0.0103,0.0001,1.5463,0,0,0
190,1.4367000000000001,0.010999999999999999,0,1.4254,0,0,0
191,1.5547,0.010800000000000001,0.0001,1.5434000000000001,0,0,0
192,2.4878999999999998,0.012200000000000001,0,2.4754,0,0,0
193,2.581,0.010800000000000001,0,2.5697999999999999,0,0,0
194,1.7053,0.0114,0.0001,1.6934,0,0,0
195,1.7824,0.0115,0.0001,1.7705,0,0,0
196,1.6154999999999999,0.0118,0.0001,1.6033999999999999,0,0,0
197,2.5649999999999999,0.012500000000000001,0.0001,2.5520999999999998,0,0,0
198,2.9506000000000001,0.016,0.0001,2.9340000000000002,0,0,0
199,1.4508000000000001,0.019699999999999999,0.0001,1.4307000000000001,0,0,0
200,1.4217,0.011599999999999999,0,1.4097999999999999,0,0,0
201,1.4413,0.0106,0.0001,1.4303999999999999,0,0,0
202,2.8593000000000002,0.010500000000000001,0,2.8483999999999998,0,0,0
203,2.5082,0.0112,0,2.4967999999999999,0,0,0
204,1.4813000000000001,0.0109,0,1.4702,0,0,0
205,1.4658,0.0109,0,1.4545999999999999,0,0,0
206,1.5331999999999999,0.010800000000000001,0,1.5221,0,0,0
207,3.1537999999999999,0.0114,0.0001,3.1419999999999999,0,0,0
208,2.3607999999999998,0.0161,0.0001,2.3443000000000001,0,0,0
209,1.3946000000000001,0.0106,0.0001,1.3835999999999999,0,0,0
210,1.5086999999999999,0.01,0.0001,1.4983,0,0,0
211,1.5902000000000001,0.010800000000000001,0.0001,1.579,0,0,0
212,2.4615999999999998,0.0109,0.0001,2.4504000000000001,0,0,0
213,2.5150000000000001,0.0101,0.0001,2.5044,0,0,0
214,1.425,0.0099000000000000008,0.0001,1.4147000000000001,0,0,0
215,1.8361000000000001,0.0106,0,1.8252999999999999,0,0,0
216,1.4227000000000001,0.0111,0,1.4113,0,0,0
217,1.4869000000000001,0.0103,0,1.4762999999999999,0,0,0
218,2.7578,0.010699999999999999,0.0001,2.7467000000000001,0,0,0
219,2.2751999999999999,0.010200000000000001,0,2.2646000000000002,0,0,0
220,1.5049999999999999,0.016299999999999999,0.0001,1.4882,0,0,0
221,1.4219999999999999,0.010800000000000001,0.0001,1.4109,0,0,0
222,1.4241999999999999,0.010800000000000001,0.0001,1.4131,0,0,0
223,2.5939999999999999,0.0112,0,2.5823999999999998,0,0,0
224,2.5070000000000001,0.0111,0.0001,2.4954999999999998,0,0,0
225,1.6236999999999999,0.0115,0.0001,1.6116999999999999,0,0,0
226,1.5672999999999999,0.012999999999999999,0.0001,1.5539000000000001,0,0,0
227,1.4921,0.0135,0.0001,1.4782,0,0,0
228,2.9005999999999998,0.0132,0.0001,2.8871000000000002,0,0,0
229,2.9887000000000001,0.0118,0,2.9767000000000001,0,0,0
230,1.5365,0.0115,0,1.5246999999999999,0,0,0
231,1.4994000000000001,0.011599999999999999,0.0001,1.4874000000000001,0,0,0
232,1.4947999999999999,0.010999999999999999,0.0001,1.4833000000000001,0,0,0
233,2.9483000000000001,0.015299999999999999,0.0001,2.9327000000000001,0,0,0
234,2.1795,0.010800000000000001,0.0001,2.1682000000000001,0,0,0
235,1.5612999999999999,0.010999999999999999,0,1.5501,0,0,0
236,1.7089000000000001,0.010999999999999999,0.0001,1.6975,0,0,0
237,1.5202,0.010699999999999999,0.0001,1.5091000000000001,0,0,0
238,2.6918000000000002,0.010699999999999999,0.0001,2.6806999999999999,0,0,0
239,2.1800999999999999,0.010999999999999999,0.0001,2.1686999999999999,0,0,0
240,1.4789000000000001,0.0106,0,1.468,0,0,0
241,1.5072000000000001,0.0106,0.0001,1.4963,0,0,0
242,1.4245000000000001,0.0172,0.0001,1.4068000000000001,0,0,0
243,2.0348999999999999,0.0111,0,2.0236000000000001,0,0,0
244,2.8672,0.0106,0.0001,2.8559999999999999,0,0,0
245,1.9277,0.017600000000000001,0.0001,1.9096,0,0,0
246,1.5476000000000001,0.010999999999999999,0,1.5364,0,0,0
247,1.5215000000000001,0.016500000000000001,0.0001,1.5046999999999999,0,0,0
248,2.0461,0.010800000000000001,0,2.0350000000000001,0,0,0
249,2.5076999999999998,0.010500000000000001,0,2.4971000000000001,0,0,0
250,1.4992000000000001,0.0099000000000000008,0.0001,1.4888999999999999,0,0,0
251,1.4359,0.016,0,1.4196,0,0,0
252,1.4902,0.0106,0,1.4794,0,0,0
253,1.4795,0.010999999999999999,0,1.4682999999999999,0,0,0
254,2.8472,0.010999999999999999,0.0001,2.8357000000000001,0,0,0
255,2.5489000000000002,0.010699999999999999,0.0001,2.5379,0,0,0
